model,condition,kind,label,tp,fp,fn,precision,recall,f1
DeepSeek,author_routed_joint,entity,OBS-DP,412,82,185,0.8340080971659919,0.6901172529313233,0.7552703941338222
DeepSeek,author_routed_joint,entity,OBS-DA,186,9,19,0.9538461538461539,0.9073170731707317,0.93
DeepSeek,author_routed_joint,entity,OBS-U,71,51,26,0.5819672131147541,0.7319587628865979,0.6484018264840182
DeepSeek,author_routed_joint,relation,Modify,469,226,262,0.6748201438848921,0.6415868673050615,0.6577840112201964
DeepSeek,author_routed_joint,relation,LocatedAt,224,150,148,0.5989304812834224,0.6021505376344086,0.6005361930294906
DeepSeek,author_routed_joint,relation,SuggestiveOf,32,38,32,0.45714285714285713,0.5,0.4776119402985075
DeepSeek,author_full,entity,ANAT,628,70,59,0.8997134670487106,0.9141193595342066,0.9068592057761732
DeepSeek,author_full,entity,OBS-DP,405,79,192,0.8367768595041323,0.678391959798995,0.7493061979648474
DeepSeek,author_full,entity,OBS-DA,185,10,20,0.9487179487179487,0.9024390243902439,0.9249999999999999
DeepSeek,author_full,entity,OBS-U,72,41,25,0.6371681415929203,0.7422680412371134,0.6857142857142856
DeepSeek,author_full,relation,Modify,439,206,292,0.6806201550387597,0.600547195622435,0.6380813953488372
DeepSeek,author_full,relation,LocatedAt,212,155,160,0.5776566757493188,0.5698924731182796,0.5737483085250338
DeepSeek,author_full,relation,SuggestiveOf,34,37,30,0.4788732394366197,0.53125,0.5037037037037037
DeepSeek,author_full_joint,entity,ANAT,639,76,48,0.8937062937062937,0.9301310043668122,0.9115549215406562
DeepSeek,author_full_joint,entity,OBS-DP,417,81,180,0.8373493975903614,0.6984924623115578,0.7616438356164383
DeepSeek,author_full_joint,entity,OBS-DA,189,9,16,0.9545454545454546,0.9219512195121952,0.9379652605459058
DeepSeek,author_full_joint,entity,OBS-U,69,51,28,0.575,0.711340206185567,0.6359447004608295
DeepSeek,author_full_joint,relation,Modify,468,203,263,0.6974664679582713,0.640218878248974,0.6676176890156919
DeepSeek,author_full_joint,relation,LocatedAt,229,147,143,0.6090425531914894,0.6155913978494624,0.6122994652406418
DeepSeek,author_full_joint,relation,SuggestiveOf,30,38,34,0.4411764705882353,0.46875,0.45454545454545453
DeepSeek,human_joint,entity,ANAT,594,35,93,0.9443561208267091,0.8646288209606987,0.9027355623100304
DeepSeek,human_joint,entity,OBS-DP,452,146,145,0.7558528428093646,0.7571189279731994,0.7564853556485357
DeepSeek,human_joint,entity,OBS-DA,147,16,58,0.901840490797546,0.7170731707317073,0.7989130434782609
DeepSeek,human_joint,entity,OBS-U,51,24,46,0.68,0.5257731958762887,0.5930232558139534
DeepSeek,human_joint,relation,Modify,378,229,353,0.6227347611202636,0.5170998632010944,0.5650224215246636
DeepSeek,human_joint,relation,LocatedAt,218,122,154,0.6411764705882353,0.5860215053763441,0.6123595505617978
DeepSeek,human_joint,relation,SuggestiveOf,30,33,34,0.47619047619047616,0.46875,0.47244094488188976
Terra,S0,entity,ANAT,87,175,600,0.3320610687022901,0.12663755458515283,0.18335089567966278
Terra,S0,entity,OBS-DP,77,188,520,0.29056603773584905,0.12897822445561138,0.17865429234338748
Terra,S0,entity,OBS-DA,41,93,164,0.30597014925373134,0.2,0.24188790560471973
Terra,S0,entity,OBS-U,25,51,72,0.32894736842105265,0.25773195876288657,0.28901734104046245
Terra,S0,relation,Modify,1,37,730,0.02631578947368421,0.0013679890560875513,0.0026007802340702207
Terra,S0,relation,LocatedAt,19,208,353,0.08370044052863436,0.051075268817204304,0.0634390651085142
Terra,S0,relation,SuggestiveOf,6,62,58,0.08823529411764706,0.09375,0.0909090909090909
Terra,G0,entity,ANAT,641,64,46,0.9092198581560283,0.9330422125181951,0.9209770114942529
Terra,G0,entity,OBS-DP,412,107,185,0.7938342967244701,0.6901172529313233,0.7383512544802867
Terra,G0,entity,OBS-DA,191,13,14,0.9362745098039216,0.9317073170731708,0.9339853300733496
Terra,G0,entity,OBS-U,68,58,29,0.5396825396825397,0.7010309278350515,0.6098654708520178
Terra,G0,relation,Modify,423,327,308,0.564,0.5786593707250342,0.5712356515867656
Terra,G0,relation,LocatedAt,200,110,172,0.6451612903225806,0.5376344086021505,0.5865102639296188
Terra,G0,relation,SuggestiveOf,31,45,33,0.40789473684210525,0.484375,0.44285714285714284
Terra,Gstar,entity,ANAT,641,57,46,0.9183381088825215,0.9330422125181951,0.9256317689530686
Terra,Gstar,entity,OBS-DP,471,67,126,0.8754646840148699,0.7889447236180904,0.8299559471365638
Terra,Gstar,entity,OBS-DA,185,10,20,0.9487179487179487,0.9024390243902439,0.9249999999999999
Terra,Gstar,entity,OBS-U,73,33,24,0.6886792452830188,0.7525773195876289,0.7192118226600984
Terra,Gstar,relation,Modify,478,291,253,0.6215864759427828,0.6538987688098495,0.6373333333333333
Terra,Gstar,relation,LocatedAt,169,64,203,0.7253218884120172,0.4543010752688172,0.5586776859504131
Terra,Gstar,relation,SuggestiveOf,34,33,30,0.5074626865671642,0.53125,0.5190839694656488
Terra,joint,entity,ANAT,642,47,45,0.9317851959361393,0.9344978165938864,0.9331395348837209
Terra,joint,entity,OBS-DP,483,69,114,0.875,0.8090452261306532,0.8407310704960836
Terra,joint,entity,OBS-DA,183,18,22,0.9104477611940298,0.8926829268292683,0.9014778325123152
Terra,joint,entity,OBS-U,73,39,24,0.6517857142857143,0.7525773195876289,0.6985645933014354
Terra,joint,relation,Modify,476,254,255,0.6520547945205479,0.6511627906976745,0.6516084873374401
Terra,joint,relation,LocatedAt,195,77,177,0.7169117647058824,0.5241935483870968,0.6055900621118012
Terra,joint,relation,SuggestiveOf,32,34,32,0.48484848484848486,0.5,0.49230769230769234
Terra,human,entity,ANAT,604,67,83,0.9001490312965723,0.8791848617176128,0.8895434462444771
Terra,human,entity,OBS-DP,436,90,161,0.8288973384030418,0.7303182579564489,0.7764915405164737
Terra,human,entity,OBS-DA,181,18,24,0.9095477386934674,0.8829268292682927,0.8960396039603961
Terra,human,entity,OBS-U,74,69,23,0.5174825174825175,0.7628865979381443,0.6166666666666667
Terra,human,relation,Modify,431,246,300,0.6366322008862629,0.5896032831737346,0.6122159090909092
Terra,human,relation,LocatedAt,227,149,145,0.6037234042553191,0.6102150537634409,0.606951871657754
Terra,human,relation,SuggestiveOf,35,35,29,0.5,0.546875,0.5223880597014925
Terra,minimal_R,entity,ANAT,641,57,46,0.9183381088825215,0.9330422125181951,0.9256317689530686
Terra,minimal_R,entity,OBS-DP,471,67,126,0.8754646840148699,0.7889447236180904,0.8299559471365638
Terra,minimal_R,entity,OBS-DA,185,10,20,0.9487179487179487,0.9024390243902439,0.9249999999999999
Terra,minimal_R,entity,OBS-U,73,33,24,0.6886792452830188,0.7525773195876289,0.7192118226600984
Terra,minimal_R,relation,Modify,433,220,298,0.663093415007657,0.5923392612859097,0.6257225433526011
Terra,minimal_R,relation,LocatedAt,222,134,150,0.6235955056179775,0.5967741935483871,0.6098901098901099
Terra,minimal_R,relation,SuggestiveOf,35,34,29,0.5072463768115942,0.546875,0.5263157894736842
Terra,author,entity,ANAT,648,88,39,0.8804347826086957,0.9432314410480349,0.9107519325368938
Terra,author,entity,OBS-DP,407,94,190,0.812375249500998,0.6817420435510888,0.7413479052823316
Terra,author,entity,OBS-DA,182,10,23,0.9479166666666666,0.8878048780487805,0.9168765743073047
Terra,author,entity,OBS-U,73,77,24,0.4866666666666667,0.7525773195876289,0.5910931174089068
Terra,author,relation,Modify,458,254,273,0.6432584269662921,0.6265389876880985,0.6347886347886348
Terra,author,relation,LocatedAt,212,158,160,0.572972972972973,0.5698924731182796,0.5714285714285715
Terra,author,relation,SuggestiveOf,31,40,33,0.43661971830985913,0.484375,0.4592592592592592
Terra,author_routed_joint,entity,ANAT,641,75,46,0.8952513966480447,0.9330422125181951,0.9137562366357805
Terra,author_routed_joint,entity,OBS-DP,423,88,174,0.8277886497064579,0.7085427135678392,0.7635379061371842
Terra,author_routed_joint,entity,OBS-DA,182,6,23,0.9680851063829787,0.8878048780487805,0.9262086513994912
Terra,author_routed_joint,entity,OBS-U,75,74,22,0.5033557046979866,0.7731958762886598,0.6097560975609757
Terra,author_routed_joint,relation,Modify,472,246,259,0.6573816155988857,0.6456908344733242,0.6514837819185645
Terra,author_routed_joint,relation,LocatedAt,216,161,156,0.5729442970822282,0.5806451612903226,0.5767690253671562
Terra,author_routed_joint,relation,SuggestiveOf,34,36,30,0.4857142857142857,0.53125,0.5074626865671641
Terra,author_full,entity,ANAT,654,79,33,0.8922237380627558,0.9519650655021834,0.9211267605633803
Terra,author_full,entity,OBS-DP,407,83,190,0.8306122448979592,0.6817420435510888,0.7488500459981601
Terra,author_full,entity,OBS-DA,184,13,21,0.934010152284264,0.8975609756097561,0.9154228855721392
Terra,author_full,entity,OBS-U,81,74,16,0.5225806451612903,0.8350515463917526,0.6428571428571429
Terra,author_full,relation,Modify,464,246,267,0.6535211267605634,0.6347469220246238,0.6439972241498959
Terra,author_full,relation,LocatedAt,214,147,158,0.592797783933518,0.5752688172043011,0.5839017735334243
Terra,author_full,relation,SuggestiveOf,38,34,26,0.5277777777777778,0.59375,0.5588235294117648
Terra,author_full_joint,entity,ANAT,638,74,49,0.8960674157303371,0.9286754002911208,0.9120800571837027
Terra,author_full_joint,entity,OBS-DP,413,80,184,0.8377281947261663,0.6917922948073701,0.7577981651376146
Terra,author_full_joint,entity,OBS-DA,180,12,25,0.9375,0.8780487804878049,0.906801007556675
Terra,author_full_joint,entity,OBS-U,77,81,20,0.4873417721518987,0.7938144329896907,0.6039215686274509
Terra,author_full_joint,relation,Modify,460,240,271,0.6571428571428571,0.6292749658002736,0.6429070580013977
Terra,author_full_joint,relation,LocatedAt,214,169,158,0.5587467362924282,0.5752688172043011,0.5668874172185431
Terra,author_full_joint,relation,SuggestiveOf,35,36,29,0.49295774647887325,0.546875,0.5185185185185185
Terra,human_joint,entity,ANAT,607,58,80,0.912781954887218,0.883551673944687,0.8979289940828402
Terra,human_joint,entity,OBS-DP,464,178,133,0.7227414330218068,0.7772194304857621,0.7489911218724777
Terra,human_joint,entity,OBS-DA,150,13,55,0.9202453987730062,0.7317073170731707,0.8152173913043478
Terra,human_joint,entity,OBS-U,52,46,45,0.5306122448979592,0.5360824742268041,0.5333333333333333
Terra,human_joint,relation,Modify,418,308,313,0.5757575757575758,0.5718194254445964,0.5737817433081676
Terra,human_joint,relation,LocatedAt,226,150,146,0.601063829787234,0.6075268817204301,0.6042780748663102
Terra,human_joint,relation,SuggestiveOf,31,33,33,0.484375,0.484375,0.484375
Sol,S0,entity,ANAT,75,185,612,0.28846153846153844,0.1091703056768559,0.1583949313621964
Sol,S0,entity,OBS-DP,87,202,510,0.30103806228373703,0.1457286432160804,0.1963882618510158
Sol,S0,entity,OBS-DA,43,87,162,0.33076923076923076,0.2097560975609756,0.25671641791044775
Sol,S0,entity,OBS-U,27,56,70,0.3253012048192771,0.27835051546391754,0.30000000000000004
Sol,S0,relation,Modify,4,43,727,0.0851063829787234,0.005471956224350205,0.010282776349614397
Sol,S0,relation,LocatedAt,26,250,346,0.09420289855072464,0.06989247311827956,0.08024691358024691
Sol,S0,relation,SuggestiveOf,5,67,59,0.06944444444444445,0.078125,0.07352941176470588
Sol,G0,entity,ANAT,645,58,42,0.9174964438122333,0.9388646288209607,0.9280575539568346
Sol,G0,entity,OBS-DP,473,74,124,0.8647166361974405,0.7922948073701842,0.8269230769230769
Sol,G0,entity,OBS-DA,189,18,16,0.9130434782608695,0.9219512195121952,0.9174757281553397
Sol,G0,entity,OBS-U,82,58,15,0.5857142857142857,0.845360824742268,0.6919831223628692
Sol,G0,relation,Modify,502,211,229,0.7040673211781207,0.6867305061559508,0.6952908587257617
Sol,G0,relation,LocatedAt,239,139,133,0.6322751322751323,0.6424731182795699,0.6373333333333334
Sol,G0,relation,SuggestiveOf,32,31,32,0.5079365079365079,0.5,0.5039370078740157
Sol,Gstar,entity,ANAT,654,56,33,0.9211267605633803,0.9519650655021834,0.9362920544022907
